"","","paytm_extraction"
"1","positive","thejocean this site was way better before you lot banded together to form your sjw fighter forces"
"2","positive","contactribg hhesterm emporersnewc weve just turned off all hand driers on a site the supports  staff as they could spread the v"
"3","Neutral","jcsnine ive created nologin remotelearning lessons on my site sentence studies  fragmentsrunons "
"4","negative","kaislatte article trans from fashion site with m followerskai being called human gucci is not for nothing"
"5","Neutral","cmeonengland hey nathaniel we dont have this info but our site will update if we do stock these in the futurethankskizzy"
"6","Neutral","dangerusswilson humbled for ciara amp i to partner with wheelsup on the meals up initiative in pledging  million meals to feeding"
"7","Neutral","isaacdovere the site would not have helped many americans even if it had launched today more than two weeks after the president pro"
"8","Neutral","jakesherman first they told us google would be building a website to help people figure out if they need to get tested and direct the"
"9","Neutral","cityoftampa  covid testing kits have been secured and the rjstadium testing site is reopening todayif you are experiencing"
"10","negative","ans shes the reason we have youtube jawed karim missed janet jacksons wardrobe malfunction at the  superbow"
"11","Neutral","nycgov if you want to save a life keep an eye on the people around you and stay away everyone should have six feet around them at al"
"12","Neutral","with many people finding more time to themselves we at viridian solar are starting to see a serge of private homeo"
"13","Neutral","coronavirus wallsend steel firm rules out paid leave for workers"
"14","positive","jreckford we have always been grateful to health care pros whove volunteered on site to keep us healthy amp safe this doctorsday we"
"15","negative","cancer stat facts cancer of any site  cancercurenow  "
"16","positive","do something good today cancercurenow  "
"17","Neutral","unesco do you recognize this world heritage sitepetra is halfbuilt halfcarved into the rock and is surrounded by mountains rid"
"18","Neutral","lbxt lindawills brynawelprimary bawelclass bawelclass bawelclass bawelclass bawelclass it has its own construction site"
"19","Neutral","im inviting you to join money genie a site that lets you earn money with social media i just earned  and"
"20","positive","archound art gallery and character profiles for ghouls n ghosts from gamest  feb  theres an interesting bit about arthur"
"21","Neutral","hwarlow hello again michelle waldele has a fab portfolio of paintings any one of which would fit in to our arty site  still life w"
"22","negative","acresindia covidcoronavirus outbreak and resultant global economic downturn will impact realestate says agnelorajesh atha"
"23","positive","wildearthguard right now the protection of publichealth and wellbeing is paramount yet the us bureau of land management continue"
"24","Neutral","gaylonwhite the expanded wrigley field i was at the site in august"
"25","Neutral","gobebago louis tomlinson giveawayany one item of merch from lts sitewinner will be selected friday april  at  am etinterne"
"26","negative","theplugzeus no longer dm limited dm me here if you placed an order or would like to or check out the sitehonor is on sale rn"
"27","Neutral","alterevolver road to tokyo dome special site"
"28","Neutral","im inviting you to join earn and go a site that lets you earn money with social media i just earned  and"
